municipio_id	municipio	estado	tempo_habitual_desloc	qtd_pessoas	tempo_medio_minutos					
1200013	Acrelândia	AC	5	510	None					
1200013	Acrelândia	AC	30	1925	None					
1200013	Acrelândia	AC	60	277	None					
1200013	Acrelândia	AC	120	62	None					
1200013	Acrelândia	AC	120+	28	None					
1200013	Acrelândia	AC	Total	2802	20					
1200054	Assis Brasil	AC	5	546	None					
1200054	Assis Brasil	AC	30	671	None					
1200054	Assis Brasil	AC	60	102	None					
1200054	Assis Brasil	AC	120	30	None					
1200054	Assis Brasil	AC	120+	15	None					
1200054	Assis Brasil	AC	Total	1364	17					
1200104	Brasiléia	AC	5	1044	None					
1200104	Brasiléia	AC	30	2364	None					
1200104	Brasiléia	AC	60	364	None					
1200104	Brasiléia	AC	120	59	None					
1200104	Brasiléia	AC	120+	111	None					
1200104	Brasiléia	AC	Total	3944	20					
1200138	Bujari	AC	5	222	None					
1200138	Bujari	AC	30	872	None					
1200138	Bujari	AC	60	282	None					
1200138	Bujari	AC	120	78	None					
1200138	Bujari	AC	120+	15	None					
1200138	Bujari	AC	Total	1469	26					
1200179	Capixaba	AC	5	610	None					
1200179	Capixaba	AC	30	881	None					
1200179	Capixaba	AC	60	128	None					
1200179	Capixaba	AC	120	31	None					
1200179	Capixaba	AC	120+	21	None					
1200179	Capixaba	AC	Total	1671	17					
1200203	Cruzeiro do Sul	AC	5	3764	None					
1200203	Cruzeiro do Sul	AC	30	12384	None					
1200203	Cruzeiro do Sul	AC	60	1933	None					
1200203	Cruzeiro do Sul	AC	120	289	None					
1200203	Cruzeiro do Sul	AC	120+	235	None					
1200203	Cruzeiro do Sul	AC	Total	18604	20					
1200252	Epitaciolândia	AC	5	747	None					
1200252	Epitaciolândia	AC	30	2389	None					
1200252	Epitaciolândia	AC	60	358	None					
1200252	Epitaciolândia	AC	120	43	None					
1200252	Epitaciolândia	AC	120+	41	None					
1200252	Epitaciolândia	AC	Total	3577	19					
1200302	Feijó	AC	5	1156	None					
1200302	Feijó	AC	30	2201	None					
1200302	Feijó	AC	60	218	None					
1200302	Feijó	AC	120	163	None					
1200302	Feijó	AC	120+	53	None					
1200302	Feijó	AC	Total	3790	19					
1200328	Jordão	AC	5	205	None					
1200328	Jordão	AC	30	446	None					
1200328	Jordão	AC	60	82	None					
1200328	Jordão	AC	120	18	None					
1200328	Jordão	AC	120+	11	None					
